Gas age [ka BP]	CO2 [ppmv]
0.350168	280.4
0.485930	274.9
0.500826	277.9
0.539620	279.1
0.539863	281.9
0.657171	277.7
0.763045	281.1
0.867384	282.2
0.962373	280.1
1.109540	278.4
1.166760	276.6
1.256420	279.1
1.316120	277.7
1.387290	278.7
1.477590	277.4
1.653130	279.2
1.728930	280.0
1.817750	278.9
1.901420	278.7
1.999370	278.0
2.093720	276.9
2.233680	276.7
2.265560	276.7
2.414330	277.6
2.526190	277.9
2.627810	273.9
2.709020	278.9
2.798690	275.3
2.928890	274.7
2.933450	276.3
3.055150	274.6
3.255840	276.3
3.283720	273.1
3.433730	274.0
3.528090	275.0
3.644350	273.4
3.693780	273.0
3.806550	271.5
3.856380	275.4
3.968320	274.9
4.105730	271.7
4.205980	271.6
4.274380	272.8
4.343350	271.5
4.494680	271.1
4.591620	269.1
4.647390	269.8
4.772770	271.5
4.921710	270.7
4.981010	269.3
5.086790	268.6
5.218190	269.8
5.310260	267.6
5.357920	265.3
5.532150	265.2
5.581250	267.6
5.758260	265.9
5.872200	265.5
5.929830	260.7
5.999370	266.7
6.089130	265.5
6.302140	263.2
6.337090	262.7
6.400070	261.2
6.570900	261.1
6.682690	259.4
6.769630	262.1
6.879860	262.9
6.970430	258.1
7.037520	257.6
7.210460	262.3
7.263790	263.0
7.404410	260.7
7.497610	258.4
7.661340	260.1
7.719650	260.4
7.860130	259.7
7.930140	259.2
7.968480	260.8
8.117250	259.6
8.194710	259.3
8.353170	258.3
8.460200	261.3
8.546180	260.7
8.709350	261.8
8.781280	259.0
8.912190	260.9
8.992450	260.4
9.059790	259.3
9.142350	262.0
9.294990	263.7
9.360880	263.8
9.436940	265.2
9.516290	260.6
9.522590	260.9
9.555850	263.0
9.573390	263.8
9.901270	264.4
9.993700	264.2
10.133600	264.0
10.193800	263.4
10.299500	265.7
10.367600	264.9
10.505700	267.5
10.683200	266.9
10.801900	266.0
10.835200	265.1
10.954500	267.6
11.090600	264.8
11.161100	264.8
11.185900	265.0
11.200400	265.3
11.257000	264.4
11.315000	264.1
11.438900	264.2
11.522100	264.5
11.529800	264.0
11.531900	263.0
11.538900	265.2
11.539200	258.8
11.544100	260.8
11.610300	255.4
11.686700	253.9
11.752600	253.8
11.938500	250.7
12.017600	249.7
12.077500	251.1
12.155000	250.7
12.313000	245.3
12.404100	245.3
12.442300	246.6
12.508400	243.2
12.579800	240.3
12.822700	237.5
12.953000	237.6
13.198800	234.2
13.436500	238.3
13.627900	237.3
13.726400	237.9
13.910900	237.6
14.188600	236.4
14.248300	239.2
14.262000	238.6
14.385300	238.6
14.580600	239.1
14.811200	228.5
15.137500	228.4
15.421500	226.1
15.659000	225.2
15.790500	224.5
15.937600	222.0
16.063100	221.0
16.134500	220.9
16.398000	219.4
16.723700	214.0
16.971500	207.5
17.155600	207.7
17.287900	202.9
17.395000	200.8
17.705300	195.2
18.212700	193.9
18.499300	191.0
18.638400	188.5
18.907300	188.5
19.114200	189.2
19.437800	187.0
19.606000	188.6
19.827400	189.4
19.851600	192.3
19.884200	188.3
20.143800	188.7
20.224500	188.8
20.485400	190.0
20.817700	188.0
21.065600	188.2
21.108700	195.0
21.428200	187.8
21.576900	186.9
21.718800	186.5
21.824900	184.7
21.928000	186.1
22.133300	185.7
22.236000	184.4
22.884200	189.2
26.387300	191.6
29.143800	188.5
30.278400	191.7
35.178700	205.3
37.487800	209.1
43.497800	209.1
47.144000	189.3
49.240500	188.4
50.114300	210.1
51.178200	215.7
53.096900	190.4
58.060800	221.7
58.678600	210.4
64.232500	195.3
66.515300	191.4
67.834700	194.9
72.508300	227.3
74.631100	229.1
78.770600	217.1
79.742200	221.7
81.852100	230.9
83.370600	241.1
84.175200	236.4
84.809700	228.0
85.836400	214.2
87.025600	217.0
88.923100	208.0
91.323700	224.2
92.319300	228.3
