
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
6.60	-390.9	-50.12
7.15	-385.1	-49.16
7.70	-377.8	-48.14
8.25	-394.1	-50.35
8.80	-398.7	-50.94
9.35	-395.9	-50.60
9.90	-395.9	-50.52
10.45	-399.3	-51.07
11.00	-391.4	-49.97
11.55	-399.5	-50.89
12.10	-402.9	-51.60
12.65	-393.9	-50.45
13.20	-398.6	-50.81
13.75	-389.8	-49.98
14.30	-394.5	-50.62
14.85	-400.5	-51.07
15.40	-403.6	-51.72
15.95	-393.1	-50.11
16.50	-410.9	-52.51
17.05	-393.6	-50.22
17.60	-391.1	-49.92
18.15	-391.9	-49.86
18.70	-396.3	-50.44
19.25	-397.0	-50.70
19.80	-404.7	-51.70
20.35	-398.2	-50.98
20.90	-395.2	-50.72
21.45	-403.5	-51.68
22.00	-398.6	-51.17
22.55	-399.7	-51.26
23.10	-396.0	-50.64
23.65	-400.2	-51.50
24.20	-401.6	-51.56
24.75	-405.4	-51.89
25.30	-399.0	-51.00
25.85	-396.9	-50.55
26.40	-394.9	-50.58
26.95	-406.6	-51.93
27.50	-395.2	-50.50
28.05	-395.3	-50.49
28.60	-399.5	-51.06
29.15	-401.0	-51.24
29.70	-393.6	-50.23
30.25	-410.4	-52.52
30.80	-401.3	-51.03
31.35	-398.3	-50.94
31.90	-388.5	-49.54
32.45	-391.9	-50.14
33.00	-400.8	-51.18
33.55	-387.7	-49.53
34.10	-401.4	-51.20
34.65	-401.0	-51.18
35.20	-387.3	-49.33
35.75	-390.2	-49.82
36.30	-394.5	-50.43
36.85	-401.9	-51.31
37.40	-399.8	-51.06
37.95	-399.9	-51.10
38.50	-399.1	-51.02
39.05	-401.9	-51.49
39.60	-404.8	-51.68
40.15	-401.6	-51.58
40.70	-396.7	-50.70
41.25	-397.1	-50.82
41.80	-394.2	-50.44
42.35	-395.9	-50.65
42.90	-392.7	-50.24
43.45	-390.4	-49.93
44.00	-389.0	-49.70
44.55	-387.0	-49.57
45.10	-402.3	-51.58
45.65	-392.5	-50.27
46.20	-404.6	-51.79
46.75	-390.5	-49.99
47.30	-402.3	-51.45
47.85	-400.1	-51.04
48.40	-399.4	-51.16
48.95	-400.6	-51.28
49.50	-393.8	-50.41
50.05	-398.5	-51.06
50.60	-398.7	-50.98
51.15	-401.8	-51.55
51.70	-395.2	-50.61
52.25	-390.1	-49.76
52.80	-393.9	-50.36
53.35	-400.6	-51.06
53.90	-400.9	-51.20
54.45	-391.7	-50.17
55.00	-399.3	-51.09
55.55	-386.7	-49.60
56.10	-401.5	-51.35
56.65	-398.1	-50.90
57.20	-390.4	-49.91
