Event (Core)	Eruption	Type	Depth ice/snow [m] (top)	Depth ice/snow [m] (bottom)	Age [ka BP] (AICC2012 Age)	[SO4]2- [ng/g] (Ion chromatography)	δ34S [‰ CDT] (Multi-collector inductively c...)	δ34S std dev [±] (2s, Multi-collector inductive...)	δ33S [‰ CDT] (Multi-collector inductively c...)	δ33S std dev [±] (2s, Multi-collector inductive...)	Δ33S [‰] (Multi-collector inductively c...)	Δ33S std dev [±] (2s, Multi-collector inductive...)	fV	fV std dev [±]	δ34S [‰ CDT] (Calculated, in volcanic fraction)	δ34S std dev [±] (s, Calculated, in volcanic fr...)	δ33S [‰ CDT] (Calculated, in volcanic fraction)	δ33S std dev [±] (s, Calculated, in volcanic fr...)	Δ33S [‰] (Calculated, in volcanic fraction)	Δ33S std dev [±] (s, Calculated, in volcanic fr...)
EDML	Pre-T1	Event	1866.00	1866.10	73.62	81	14.52	0.11	7.50	0.09	0.05	0.10								
EDML	Pre-T1	Event	1866.10	1866.17	73.63	97	14.10	0.11	7.28	0.09	0.04	0.10								
EDML	Pre-T1	Event	1866.17	1866.22	73.64	125	12.27	0.11	6.45	0.09	0.16	0.10								
EDML	Pre-T1	Event	1866.22	1866.25	73.64	212	5.92	0.11	2.63	0.09	-0.41	0.10	0.63	0.13	-0.33	4.13	-0.86	2.31	-0.69	0.58
EDML	Pre-T1	Event	1866.25	1866.30	73.64	145	8.21	0.11	4.13	0.09	-0.09	0.10	0.46	0.19	-7.10	42.24	-3.96	23.06	0.11	9.09
EDML	Pre-T1	Event	1866.30	1866.36	73.65	123	15.28	0.11	7.91	0.09	0.07	0.10								
EDML	Pre-T1	Event	1866.36	1866.43	73.65	91	13.91	0.11	7.19	0.09	0.05	0.10								
EDML	Pre-T1	Background	1866.43	1866.51	73.66	78	15.31	0.11	7.86	0.09	0.01	0.10								
EDML	T1	Event	1866.51	1866.57	73.67	153	2.98	0.11	0.66	0.09	-0.87	0.10	0.45	0.18	-20.43	48.41	-13.29	28.64	-2.24	6.53
EDML	T1	Event	1866.57	1866.60	73.67	305	-16.85	0.11	-10.94	0.09	-2.23	0.10	0.73	0.09	-29.40	6.00	-18.33	3.53	-3.08	0.50
EDML	T1	Event	1866.60	1866.64	73.67	306	13.59	0.11	7.96	0.09	0.98	0.10	0.73	0.09	13.22	0.45	8.12	0.25	1.34	0.36
EDML	T1	Event	1866.64	1866.71	73.68	150	16.66	0.11	9.02	0.09	0.48	0.10	0.44	0.18	24.49	104.56	14.41	65.57	2.34	35.38
EDML	T1	Background	1866.71	1866.78	73.68	84	14.51	0.11	7.53	0.09	0.08	0.10								
EDC	T1	Event	1078.78	1078.82	73.65	249	14.77	0.15	7.47	0.18	-0.11	0.17								
EDC	T1	Event	1078.82	1078.86	73.65	308	16.47	0.15	8.38	0.18	-0.07	0.17	0.46	0.09	17.79	0.54	9.04	0.37	-0.09	0.29
EDC	T1	Event	1078.88	1078.90	73.66	278	6.99	0.15	2.93	0.18	-0.67	0.17	0.40	0.09	-7.01	7.13	-5.27	4.21	-1.64	0.60
EDC	T1	Event	1078.91	1078.92	73.66	526	-11.27	0.15	-7.80	0.18	-1.98	0.17	0.68	0.06	-23.91	3.33	-15.22	1.96	-2.83	0.28
EDC	T1	Event	1078.93	1078.94	73.66	579	-25.61	0.15	-16.64	0.18	-3.36	0.23	0.71	0.05	-42.45	4.35	-26.69	2.62	-4.60	0.48
EDC	T1	Event	1078.95	1078.96	73.66	751	-32.08	0.15	-20.29	0.18	-3.64	0.17	0.78	0.04	-45.83	3.58	-28.45	2.12	-4.57	0.29
EDC	T1	Event	1078.97	1078.98	73.67	479	-25.79	0.15	-16.58	0.20	-3.22	0.17	0.65	0.06	-48.14	5.96	-29.84	3.54	-4.75	0.51
EDC	T1	Event	1078.98	1079.00	73.67	507	-21.67	0.15	-14.15	0.18	-2.93	0.17	0.67	0.06	-40.08	4.89	-25.07	2.91	-4.23	0.37
EDC	T1	Event	1079.00	1079.02	73.67	342	-6.86	0.15	-5.65	0.18	-2.11	0.17	0.52	0.08	-28.93	7.48	-19.03	4.56	-4.02	0.73
EDC	T1	Event	1079.06	1079.10	73.68	235	15.98	0.15	7.83	0.18	-0.37	0.17								
EDML	T2	Background	1867.38	1867.47	73.74	88	14.17	0.11	7.25	0.09	-0.03	0.10								
EDML	T2	Event	1867.47	1867.50	73.74	245	3.61	0.11	0.97	0.09	-0.88	0.10	0.50	0.12	-8.48	7.29	-6.20	4.25	-1.81	1.01
EDML	T2	Event	1867.50	1867.52	73.75	640	-2.43	0.11	-2.65	0.10	-1.40	0.11	0.81	0.05	-6.46	1.39	-5.05	0.83	-1.72	0.24
EDML	T2	Event	1867.52	1867.54	73.75	941	-2.83	0.11	-2.69	0.10	-1.24	0.10	0.87	0.04	-5.42	0.97	-4.21	0.57	-1.41	0.17
EDML	T2	Event	1867.54	1867.55	73.75	1139	-0.02	0.11	-0.79	0.10	-0.78	0.10	0.89	0.04	-1.76	0.71	-1.78	0.42	-0.87	0.15
EDML	T2	Event	1867.55	1867.57	73.75	1161	4.26	0.11	2.05	0.10	-0.14	0.10	0.90	0.04	3.08	0.50	1.42	0.29	-0.16	0.14
EDML	T2	Event	1867.57	1867.60	73.75	908	9.92	0.11	5.68	0.10	0.58	0.11	0.87	0.04	9.24	0.29	5.42	0.17	0.67	0.17
EDML	T2	Event	1867.60	1867.62	73.75	719	13.66	0.13	7.62	0.30	0.61	0.31	0.83	0.05	13.54	0.25	7.69	0.38	0.74	0.40
EDML	T2	Event	1867.62	1867.66	73.76	370	14.90	0.11	7.71	0.11	0.06	0.12	0.67	0.08	15.24	0.51	7.92	0.32	0.10	0.40
EDML	T2	Background	1867.66	1867.71	73.76	177	14.01	0.11	7.15	0.10	-0.04	0.11								
EDML	T2	Background	1867.71	1867.80	73.77	103	14.56	0.11	7.48	0.10	0.01	0.10								
EDC	T2	Event	1079.59	1079.62	73.73	164	14.34	0.15	7.27	0.18	-0.09	0.17								
EDC	T2	Event	1079.62	1079.64	73.74	151	13.06	0.15	6.83	0.18	0.12	0.17								
EDC	T2	Event	1079.64	1079.65	73.74	233	14.14	0.15	7.24	0.18	-0.02	0.17								
EDC	T2	Event	1079.67	1079.68	73.74	340	3.23	0.15	0.79	0.18	-0.87	0.17	0.51	0.08	-8.39	3.96	-5.99	2.31	-1.66	0.30
EDC	T2	Event	1079.69	1079.70	73.74	473	-7.92	0.15	-6.04	0.18	-1.95	0.17	0.65	0.06	-20.53	3.40	-13.58	2.03	-2.95	0.28
EDC	T2	Event	1079.70	1079.71	73.74	546	-13.01	0.15	-9.14	0.18	-2.42	0.17	0.69	0.05	-25.49	3.26	-16.62	1.95	-3.41	0.28
EDC	T2	Event	1079.72	1079.73	73.75	748	-13.63	0.15	-9.46	0.18	-2.42	0.17	0.78	0.05	-21.90	2.16	-14.41	1.29	-3.07	0.19
EDC	T2	Event	1079.73	1079.74	73.75	561	-3.88	0.15	-3.27	0.18	-1.27	0.17	0.70	0.05	-11.92	2.08	-7.92	1.21	-1.76	0.15
EDC	T2	Event	1079.75	1079.76	73.75	495	2.81	0.15	0.59	0.18	-0.86	0.17	0.67	0.06	-3.38	1.65	-2.99	0.97	-1.25	0.17
EDC	T2	Event	1079.77	1079.78	73.75	454	15.25	0.15	7.92	0.18	0.09	0.17	0.63	0.06	15.50	0.10	8.13	0.15	0.18	0.14
EDC	T2	Event	1079.79	1079.80	73.75	318	16.20	0.15	8.89	0.18	0.57	0.17	0.48	0.08	17.79	0.60	10.43	0.61	1.31	0.35
