Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
149.2		668.000
173.1	3.6619300	636.000
177.4	3.7466200	595.000
228.7	6.4560100	588.000
236.4	6.8928700	574.000
266.0	8.1674500	616.000
303.8	10.5669000	667.000
321.2	11.3263000	621.000
325.0	11.4773000	511.000
331.7	11.9686000	477.000
342.1	12.6301000	501.000
356.0	13.2876000	662.000
365.6	14.1856000	610.000
366.2	14.2305000	642.000
381.7	15.5752000	445.000
426.3	19.0065000	395.000
443.5	20.6623000	363.000
458.3	22.0961000	349.000
471.0	23.0226000	379.000
491.3	25.7147000	348.000
506.4	27.4906000	406.000
507.4	27.6471000	339.000
510.2	28.0927000	371.000
513.6	28.3647000	377.000
517.6	28.5288000	403.000
519.7	28.6010000	403.000
522.5	28.7024000	340.000
522.6	28.7065000	360.000
522.7	28.7106000	381.000
525.6	28.8213000	358.000
528.2	28.9758000	392.000
532.2	29.5189000	377.000
532.4	29.5457000	380.000
535.0	29.8974000	360.000
540.0	30.3347000	363.000
541.5	30.4398000	384.000
545.2	30.6691000	387.000
547.0	30.7970000	412.000
549.4	30.9794000	426.000
552.0	31.1682000	418.000
554.2	31.3362000	448.000
556.5	31.4960000	464.000
560.2	31.7607000	435.000
562.5	31.9274000	416.000
563.1	31.9684000	403.000
565.2	32.1111000	382.000
569.2	32.5458000	396.000
571.4	32.8365000	425.000
574.3	33.2613000	435.000
577.8	33.5080000	436.000
581.8	33.5468000	421.000
582.8	33.6532000	416.000
583.3	33.7148000	429.000
589.2	34.4779000	481.000
591.7	34.8029000	489.000
593.8	35.0479000	482.000
599.1	35.6629000	394.000
602.6	36.0684000	429.000
609.7	36.7794000	469.000
612.0	37.0189000	505.000
615.5	37.3725000	548.000
617.7	37.5535000	532.000
619.5	37.6854000	520.000
622.2	37.8629000	530.000
625.1	38.0309000	509.000
627.6	38.1712000	492.000
629.2	38.2744000	484.000
633.4	38.5946000	418.000
635.1	38.7681000	403.000
639.5	39.2107000	459.000
641.3	39.3845000	414.000
644.6	39.6330000	375.000
648.0	39.8554000	423.000
649.2	39.9414000	443.000
653.8	40.2521000	431.000
664.1	41.1206000	484.000
682.0	42.6529000	520.000
683.0	42.7627000	493.000
694.6	44.1617000	424.000
699.5	44.8021000	448.000
706.1	45.3327000	537.000
712.9	45.6916000	522.000
724.8	46.2709000	441.000
748.3	47.7471000	419.000
765.3	49.2683000	402.000
788.2	50.7888000	466.000
