Depth ice/snow [m]	Age [ka BP]	δD [‰ SMOW]
0	-0.050000	-438.00
1	-0.032132	-438.00
2	-0.014263	-438.00
3	0.004153	-438.00
4	0.022569	-438.00
5	0.041625	-438.00
6	0.060680	-438.00
7	0.080356	-438.00
8	0.100031	-442.90
9	0.121087	-437.90
10	0.142142	-435.80
11	0.163679	-443.70
12	0.185215	-449.10
13	0.209831	-444.60
14	0.234447	-442.50
15	0.257932	-439.30
16	0.281418	-440.90
17	0.305991	-442.50
18	0.330564	-436.60
19	0.353223	-430.00
20	0.375882	-435.90
21	0.400344	-436.90
22	0.424806	-438.50
23	0.451826	-444.50
24	0.478845	-446.40
25	0.508957	-447.70
26	0.539069	-443.40
27	0.568212	-441.60
28	0.597354	-438.10
29	0.625775	-439.10
30	0.654195	-445.40
31	0.686693	-447.30
32	0.719191	-443.10
33	0.750081	-438.60
34	0.780971	-439.00
35	0.812605	-442.70
36	0.844240	-442.70
37	0.876591	-439.00
38	0.908941	-439.50
39	0.941434	-439.70
40	0.973927	-442.90
41	1.007490	-438.30
42	1.041060	-436.40
43	1.074780	-443.00
44	1.108510	-441.90
45	1.143320	-439.60
46	1.178130	-441.90
47	1.215280	-446.90
48	1.252430	-447.90
49	1.289980	-440.40
50	1.327520	-436.00
51	1.362180	-438.30
52	1.396850	-438.80
53	1.432640	-438.20
54	1.468440	-440.80
55	1.506690	-444.00
56	1.544950	-443.80
57	1.585070	-446.00
58	1.625200	-447.10
59	1.666020	-443.30
60	1.706840	-444.40
61	1.747950	-445.30
62	1.789070	-445.50
63	1.830550	-443.80
64	1.872030	-441.20
65	1.910960	-437.10
66	1.949900	-439.70
67	1.989820	-440.70
68	2.029740	-440.30
69	2.070370	-441.20
70	2.111000	-441.70
71	2.153170	-443.70
72	2.195340	-442.40
73	2.236250	-437.30
74	2.277160	-431.00
75	2.317010	-443.90
76	2.356860	-446.70
77	2.401320	-442.40
78	2.445790	-441.80
79	2.487350	-436.20
80	2.528910	-439.60
81	2.573090	-446.20
82	2.617260	-439.00
83	2.659280	-438.10
84	2.701310	-445.20
85	2.749170	-449.90
86	2.797040	-441.70
87	2.839410	-434.50
88	2.881780	-440.30
89	2.927560	-446.10
90	2.973340	-446.50
91	3.020260	-442.40
92	3.067180	-439.50
93	3.111880	-441.20
94	3.156570	-438.50
95	3.200050	-437.10
96	3.243530	-440.60
97	3.289340	-441.70
98	3.335150	-439.80
99	3.380120	-438.80
100	3.425080	-436.70
101	3.468800	-437.00
102	3.512530	-443.50
103	3.560630	-443.40
104	3.608720	-436.20
105	3.651920	-434.10
106	3.695120	-434.50
107	3.739130	-437.80
108	3.783150	-441.80
109	3.830570	-440.80
110	3.877990	-438.00
111	3.923960	-439.40
112	3.969940	-442.00
113	4.018370	-442.40
114	4.066800	-442.50
115	4.115930	-443.50
116	4.165070	-444.60
117	4.215280	-444.00
118	4.265480	-441.20
119	4.311630	-434.70
120	4.357770	-431.20
121	4.400090	-431.20
122	4.442410	-431.20
123	4.484850	-431.20
124	4.527290	-431.20
125	4.570290	-432.70
126	4.613280	-436.80
127	4.660340	-440.00
128	4.707390	-443.30
129	4.757210	-441.50
130	4.807040	-436.50
131	4.853620	-438.00
132	4.900210	-444.90
133	4.950990	-442.00
134	5.001780	-440.20
135	5.051080	-442.00
136	5.100380	-437.20
137	5.147150	-436.90
138	5.193920	-440.30
139	5.242540	-439.30
140	5.291160	-436.30
141	5.337970	-437.40
142	5.384790	-437.50
143	5.431280	-435.00
144	5.477770	-435.00
145	5.524130	-436.80
146	5.570490	-437.90
147	5.618090	-437.50
148	5.665690	-437.80
149	5.713600	-438.37
150	5.761520	-438.93
151	5.810240	-439.50
152	5.858960	-439.30
153	5.907090	-437.10
154	5.955220	-435.30
155	6.002660	-438.80
156	6.050100	-442.40
157	6.100110	-439.25
158	6.150120	-436.10
159	6.198020	-439.00
160	6.245910	-440.20
161	6.294640	-437.60
162	6.343380	-436.40
163	6.392210	-441.30
164	6.441040	-447.50
165	6.495090	-444.40
166	6.549130	-439.60
167	6.599440	-441.40
168	6.649750	-441.50
169	6.698810	-435.30
170	6.747860	-435.20
171	6.796380	-439.50
172	6.844890	-442.30
173	6.897940	-444.90
174	6.950980	-444.00
175	7.003220	-440.50
176	7.055460	-440.50
177	7.107610	-443.20
178	7.159750	-444.00
179	7.212320	-440.50
180	7.264900	-436.50
181	7.313820	-436.80
182	7.362730	-437.10
