Oldest Age - Years BP,Ave Age -Years BP,Young Age - Years BP,Volcano (OR GEOLOGIC AGE),Location,Deposit (OR GEOLOGIC EVENT),VEI,Volume – km3,"Caldera -Diam, kmReference",(WEB1-WEB5 abbreviations expanded at the end),
542000000,542000000,"542,000,000 EARLIEST CAMBRIAN",,,BREAKUP OF PARANOTIA,,,"AVALONIA DRIFTED NORTH FROM GONDWANA, Wikipedia: Avalonia",,
542000000,521000000,"500,000,000 EARLY-MIDDLE CAMBRIAN",,,FINAL ASSEMBLY OF GONDWANA,,,Wikipedia: Gondwana,,
525000000,513000000,"501,000,000 Antrim Plateau Volcanics",,Australia,Flood Basalts,,,Hanley and Wingate (2000),,
508000000,506500000,"505,000,000 Kalkaringi continental flood basalt",,Australia,Flood Basalts,,,Glass and Phillips (2006),,
488300000,488300000,"488,300,000 EARLIEST ORDOVICIAN",,,AVALONIA RIFT FROM GONDWANA,,,Wikipedia: Pangaea,,
473000000,467000000,"461,000,000 Unknown",,Newfoundland,Arenig–Llanvirn granite,,,Valverde-Vaquero et al. (2006),,
466000000,464000000,"462,000,000 Unknown",,Argentina,K-bentonites,,,Huff et al. (1997),,
460000000,460000000,"460,000,000 Begin minor Ice Age",,,,,,,,
454000000,454000000,"454,000,000 Unknown",,England,Millbrig-Big Bentonite,,1509,Huff et al. (1996),,
454000000,454000000,"454,000,000 Unknown",,England,Kinnekulle Bentonite,,972,Huff et al. (1996),,
454000000,454000000,"454,000,000 Unknown",,England,Deicke Bentonite,,943,Huff et al. (1996),,
454000000,454000000,"454,000,000 Eycott Volcanic Group",,England,,,,Piper et al. (1997),,
453500000,451850000,"450,200,000 Borrowdale Volcanic Group",,England,Little Stand and Crinkle Tuffs,,,Millward and Evans (2003),,
452000000,451500000,"451,000,000 Unknown",,Ontario,Russell Bed,,,Sharma et al. (2005),,
461000000,444500000,"428,000,000 Unknown",,Sweden/Norway/Scotla,K-bentonites,,,Batchelor (2003),,
443700000,443700000,"443,700,000 END ORDOVICIAN",,,BALTICA HAD COLLIDED WITH LAURENTIA,,,"AVALONIA COLLIDED WITH BALTICA, Wikipedia: Pangaea",,
430000000,430000000,"430,000,000 End minor Ice Age",,,,,,,,
422000000,422000000,"422,000,000 LATE SILURIAN",,,NORTH & SOUTH CHINA RIFTED FROM GONDWANA,,,Wikipedia: Pangaea,,
416000000,416000000,"416,000,000 LATE SUILURIAN-LOWER DEVONIAN",,,BALTICA AND AVALONIA COLLIDED WITH LAURENTIA,,,Wikipedia: Avalonia,,
377000000,363500000,"350,000,000 Viljuy Traps [They spelled it Viluy]",,Between N & S Siberian Cratons,Flood Basalts,,,"Courtillot and Renne (2003), Cocks and Torsvik (2007)",,
350000000,350000000,"350,000,000 Begin Karoo Ice Age",,,,,,,,
260000000,260000000,"260,000,000 End Karoo Ice Age",,,,,,,,
262000000,256500000,"251,000,000 Emeishan Traps",,Southwestern China,Flood Basalts,,">1,000,000","Lo et al. (2002), Hea et al. (2007),",Courtillot and Renne (2003),
251000000,251000000,"251,000,000 PERMIAN/TRIASSIC BOUNDARY",,,FINAL ASSEMBLY OF PANGAEA,,,Wikipedia: Pangaea,,
249900000,249400000,"248,900,000 Siberian Traps",,Russia,Flood Basalts,,">3,000,000","Hooper (2000), Reichow (2002), Courtillot and Renne (2003)",,
230000000,230000000,"230,000,000 Wrangelia",,Pacific,Oceanic Plateau,,,Hooper (2000),,
200000000,200000000,"200,000,000 Central Atlantic Magmatic Province",,"New Jersey, West Africa, Brazil, Spain",Flood basalts,,">2,000,000","Marzoli et al. (1999), Courtillot and Renne (2003)",,
199600000,199600000,"199,600,000 EARLIEST JURASSIC",,,RIFTING BETWEEN NORTH AMERICA AND AFRICA,,,Rift from Tethys to Pacific forming Atlantic Wikipedia: Gondwana,,
184000000,183000000,"182,000,000 Karoo-Ferrar",,Africa/Antarctica,Flood Basalts,,">2,500,000","Hooper (2000), Courtillot and Renne (2003), Jourdan et al. (2005)",,
188000000,183000000,"178,000,000 Chon Aike province",,Patagonia/Antarctica,Silicic-dominated volcanic province,,45000,Bryan et al. (2002),,
180000000,180000000,"180,000,000 Begin moderate Ice Age",,,,,,,,
167000000,167000000,"167,000,000 MIDDLE JURASSIC",,,BEGIN BREAKUP OF GONDWANA,,Antarctica-Madagascar-India-Australia began to separate from Africa Wikipedia: Gondwana,,,
172000000,167000000,"162,000,000 Chon Aike province",,Patagonia/Antarctica,Silicic-dominated volcanic province,,130000,Bryan et al. (2002),,
170000000,159000000,"148,000,000 Sierra Nevada, Talkeetna Mountains",,"California, Alaska",Large granitic batholiths,,,Ward (1995),,
157000000,155000000,"153,000,000 Chon Aike province",,Patagonia,Silicic-dominated volcanic province,,55000,Bryan et al. (2002),,
134000000,133000000,"132,000,000 Parana-Etendeka",,South America/Africa,Flood Basalts,,2300000,"Hooper (2000), Courtillot and Renne (2003), Ernesto et al. (1999)",,
130000000,130000000,"130,000,000 EARLY CRETACEOUS",,,BEGIN OPENING OF SOUTH ATLANTIC OCEAN,,,Wikipedia: Gondwana,,
110000000,110000000,"110,000,000 End moderate Ice Age",,,,,,,,
144000000,121300000,"98,600,000 Minarets",,California,Unamed,,500,30x22,Fiske and Tobisch (1994),
124000000,121000000,"118,000,000 Ontong-Java",,Southwest Pacific,Oceanic Plateau,,">57,000,000",,"Hooper (2000), Sigurdsson (2000)",
120000000,120000000,"120,000,000 EARLY CRETACEOUS",,,INDIA BEGAN NORTHWARD MOVEMENT,,,,Wikipedia: Gondwana,
116000000,116000000,"116,000,000 Rajmahal",,India,Flood Basalt Affinites,,,,Hooper (2000),
120000000,112500000,"105,000,000 Whitsunday Volcanic Province",,Eastern Australia,Silicic-dominated volcanic province,,">100,000",,Bryan et al. (2002),
124000000,112000000,"100,000,000 Peak production ocean plateaus",,,,,,,Larson (1991),
114000000,112000000,"110,000,000 Kerguelan",,Indian Ocean,Oceanic Plateau,,10000000,,"Hooper (2000), Sigurdsson (2000)",
110000000,110000000,"110,000,000 END EARLY CRETACEOUS",,,FIRST MARINE CONDITIONS IN THE SOUTH ATLANTIC,,,,Wikipedia: Gondwana,
120000000,110000000,"100,000,000 Peak production Pacific Ridges",,,,,,,Larson (1991),
120000000,105000000,"90,000,000 Peninsula Ranges, Sierra Nevada, Co",,a,California to Alaska,Large granitic batholiths,,,Ward (1995),
91000000,89500000,"88,000,000 Madagascar",,Madagascar,Flood Basalt Affinites,,,,Hooper (2000),
90000000,88000000,"86,000,000 Caribbean-Colombian",,Caribbean,Oceanic Plateau,,4000000,,"Hooper (2000), Courtillot and Renne (2003)",
80000000,80000000,"80,000,000 LATE CRETACEOUS",,,AUSTRALIA SEPARATE FROM ANTARCTICA,,,,Wikipedia: Gondwana,
73000000,73000000,"73,000,000 Unknown",,Alberta,Dorothy Bentonite,,83,,"Lerbekmo (2002), Pyle (2003)",
73000000,73000000,"73,000,000 Tucson Mountain",,Arizona,Cat Mountain Tuff,,500,25,Lipman (2000),
68000000,68000000,"68,000,000 Silver Bell",,Arizona,Lithic Tuff,,150,8,Lipman (1984),
65500000,65500000,"65,500,000 K-T BOUNDARY",,,MADAGASCAR/SEYCHELLES BROKE FROM INDIA,,,,Wikipedia: Gondwana,
